Park Code,Site Code,Unit,Site,Year,January,February,March,April,May,June,July,August,September,October,November,December,Total,Max,4thHigh
ACAD,CM,Acadia National Park,Cadillac Mountain,2022,N/A,0,0,0,0,,,,,,,,0,68,56
ACAD,MH,Acadia National Park,McFarland Hill,2022,0,0,0,0,0,,,,,,,,0,57,54
BIBE,KB,Big Bend National Park,K-Bar Ranch Road,2022,0,0,0,0,0,,,,,,,,0,66,59
CACO,,Cape Cod National Seashore,,2022,0,0,0,0,0,,,,,,,,0,60,55
CANY,IS,Canyonlands National Park,Island in the Sky,2022,0,0,0,0,0,,,,,,,,0,65,61
CAVE,BB,Carlsbad Caverns National Park,Biology Building,2022,0,0,0,0,4,,,,,,,,4,72,71
CHAM,,Chamizal National Memorial,State Monitor,2022,0,0,0,0,0,,,,,,,,0,66,56
CHCU,RR,Chaco Culture National Historical Park,Radio Repeater,2022,0,0,0,0,1,,,,,,,,1,74,63
CHIR,ES,Chiricahua National Monument,Entrance Station,2022,0,0,0,0,0,,,,,,,,0,66,64
COSW,BL,Congaree National Park,,2022,N/A,N/A,0,0,0,,,,,,,,0,59,55
CRMO,VC,Craters of the Moon National Monument & Preserve,Visitor Center,2022,0,0,0,0,0,,,,,,,,0,59,54
DEVA,PV,Death Valley National Park,Park Village,2022,0,0,0,0,0,,,,,,,,0,66,62
DENA,HQ,Denali National Park & Preserve,Headquarters,2022,0,0,0,0,0,,,,,,,,0,58,55
DINO,WE,Dinosaur National Monument,West Entrance Housing,2022,0,0,0,0,0,,,,,,,,0,64,60
GLAC,WG,Glacier National Park,West Glacier Horse Stables,2022,0,0,0,0,0,,,,,,,,0,48,47
GRCA,AS,Grand Canyon National Park,The Abyss,2022,0,0,0,0,0,,,,,,,,0,65,60
GRTE,SS,Grand Teton National Park ,Science School,2022,0,0,0,0,0,,,,,,,,0,58,55
GRBA,MY,Great Basin National Park,Maintenance Yard,2022,0,0,0,0,0,,,,,,,,0,60,59
GRSM,CC,Great Smoky Mountains National Park,Cades Cove,2022,N/A,0,0,0,0,,,,,,,,0,64,60
GRSM,CD,Great Smoky Mountains National Park,Clingmans Dome,2022,N/A,N/A,N/A,0,0,,,,,,,,0,64,60
GRSM,CM,Great Smoky Mountains National Park,Cove Mountain,2022,0,0,0,0,0,,,,,,,,0,66,64
GRSM,LR,Great Smoky Mountains National Park,Look Rock,2022,0,0,0,0,0,,,,,,,,0,69,64
GRSM,PK,Great Smoky Mountains National Park,Purchase Knob,2022,N/A,N/A,0,0,1,,,,,,,,1,73,64
GUMO,MA,Guadalupe Mountains National Park,Maintenance Area,2022,N/A,N/A,N/A,N/A,1,,,,,,,,1,71,68
INDU,WT,Indiana Dunes National Park,Water Treatment Plant,2022,N/A,N/A,0,0,0,,,,,,,,0,61,57
JOTR,CV,Joshua Tree National Park,Cottonwood Visitor Center,2022,0,0,0,2,0,,,,,,,,2,74,70
JOTR,BR,Joshua Tree National Park,Black Rock,2022,0,0,0,2,10,,,,,,,,12,83,75
LAVO,ML,Lassen Volcanic National Park,Manzanita Lake Fire Stn.,2022,0,0,0,0,0,,,,,,,,0,58,56
MACA,HM,Mammoth Cave National Park,Houchin Meadow,2022,0,0,0,0,0,,,,,,,,0,61,55
MEVE,RM,Mesa Verde National Park,Resource Mngment Area,2022,0,0,0,0,0,,,,,,,,0,64,60
MORA,JV,Mount Rainier National Park,Jackson Visitor's Center,2022,0,0,0,0,0,,,,,,,,0,55,53
PEFO,SE,Petrified Forest National Park,South Entrance,2022,0,0,0,0,0,,,,,,,,0,68,64
PINN,ES,Pinnacles National Park,SW of East Entrance Stn.,2022,0,0,0,0,0,,,,,,,,0,69,62
RANG,GC,Rangely,Golf Course,2022,0,0,0,0,0,,,,,,,,0,64,58
ROMO,LP,Rocky Mountain National Park,Long's Peak,2022,0,0,0,0,0,,,,,,,,0,66,64
SAGU,PC,Saguaro National Park,East,2022,0,0,0,0,0,,,,,,,,0,69,66
SARA,ST,Saratoga National Historical Park,Stillwater,2022,0,0,0,0,0,,,,,,,,0,57,54
SEKI,AS,Sequoia and Kings Canyon National Parks,Ash Mountain,2022,0,0,0,0,2,,,,,,,,2,73,69
SEKI,LK,Sequoia and Kings Canyon National Parks,Lower Kaweah,2022,N/A,N/A,N/A,0,2,,,,,,,,2,73,70
SHEN,BM,Shenandoah National Park,Big Meadows,2022,0,0,0,0,0,,,,,,,,0,61,59
THRO,VC,Theodore Roosevelt National Park,Painted Canyon,2022,0,0,0,0,0,,,,,,,,0,53,49
VOYA,SB,Voyageurs National Park,Sullivan Bay,2022,0,0,0,0,0,,,,,,,,0,54,49
WICA,VC,Wind Cave National Park,Visitor Center,2022,0,0,0,0,0,,,,,,,,0,64,56
YELL,WT,Yellowstone National Park,Water Tank,2022,0,0,0,0,0,,,,,,,,0,56,53
YOSE,TD,Yosemite National Park,Turtleback Dome,2022,0,0,0,0,1,,,,,,,,1,81,61
ZION,DW,Zion National Park,Dalton's Wash,2022,0,0,0,0,0,,,,,,,,0,69,61
